Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
PESSOA ANTA,Granja,LITORAL NORTE,1082,1236,14.2
HORIZONTE,Horizonte,LITORAL DE FORTALEZA,961.4,1228.5,27.8
SAO BENEDITO,São Benedito,IBIAPABA,1322.6,1215.5,-8.1
CASCAVEL,Cascavel,LITORAL DE FORTALEZA,1171.1,1211.2,3.4
SEDE,São Gonçalo do Amarante,LITORAL DE PECEM,0,1193.5,0
PINDORETAMA,Pindoretama,LITORAL DE FORTALEZA,1114.8,1183.6,6.2
TUCUNDUBA,Caucaia,LITORAL DE FORTALEZA,1061.4,1182.5,11.4
ITAPIPOCA,Itapipoca,LITORAL DE PECEM,1052.2,1168.9,11.1
BARRA DAS MOITAS,Amontada,LITORAL NORTE,0,1166.5,0
ITAREMA,Itarema,LITORAL NORTE,1137.6,1160,2
FAZENDA LAGES,Trairi,LITORAL DE PECEM,1431.3,1158,-19.1
GRANJA,Granja,LITORAL NORTE,1099.4,1153.9,5
MARTINOPOLE,Martinópole,LITORAL NORTE,1010.7,1142.5,13
MASSAPE,Massapê,LITORAL NORTE,949.7,1140.1,20
CAGADO,São Gonçalo do Amarante,LITORAL DE PECEM,0,1139.5,0
CAMOCIM,Camocim,LITORAL NORTE,1105.6,1130.6,2.3
TANQUES,Maranguape,LITORAL DE FORTALEZA,896.7,1122,25.1
SANTA CRUZ,Itapajé,LITORAL DE PECEM,1150.4,1116,-3
SAO GONCALO DO AMARANTE,São Gonçalo do Amarante,LITORAL DE PECEM,970,1115.1,15
LAGOA DO CARNEIRO,Acaraú,LITORAL NORTE,849.5,1109.2,30.6
ARATUBA,Aratuba,MACICO DE BATURITE,1141.9,1105.5,-3.2
FAZENDA BOM PASTOR,Coreaú,IBIAPABA,0,1099,0
CHAVAL,Chaval,LITORAL NORTE,876.8,1096,25
IBOREPI,Lavras da Mangabeira,CARIRI,1026,1095,6.7
BATURITE,Baturité,MACICO DE BATURITE,1053.4,1091.8,3.7
GRACA,Graça,IBIAPABA,1033.3,1085,5
ARANAU,Acaraú,LITORAL NORTE,906.8,1083.8,19.5
SANTANA DO ACARAU,Santana do Acaraú,LITORAL NORTE,831.1,1080.7,30
ITAPEBUSSU,Maranguape,LITORAL DE FORTALEZA,666,1073,61.1
LAGOA FUNDA,Beberibe,LITORAL DE FORTALEZA,1003.6,1048.6,4.5
AMANAIARA,Reriutaba,IBIAPABA,778.2,1045,34.3
PICADA,Guaraciaba do Norte,IBIAPABA,919.1,1042.5,13.4
VARZEA DA CONCEICAO,Cedro,CARIRI,833,1039,24.7
ACARAU,Acaraú,LITORAL NORTE,1083.6,1034,-4.6
CARIRE,Cariré,IBIAPABA,868.1,1031,18.8
QUITAIUS,Lavras da Mangabeira,CARIRI,941.3,1030.8,9.5
COREAU,Coreaú,IBIAPABA,1053.3,1029,-2.3
BARREIRA,Barreira,MACICO DE BATURITE,832,1023.2,23
JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,507,1017.8,100.8
PACAJUS,Pacajus,LITORAL DE FORTALEZA,918.4,1013.5,10.4
AURORA,Aurora,CARIRI,933.2,1011.6,8.4
LAMEIRO,Crato,CARIRI,1132.4,1008,-11
GUARACIABA DO NORTE,Guaraciaba do Norte,IBIAPABA,1247,1004.1,-19.5
PRATA,Bela Cruz,LITORAL NORTE,944.4,1003.2,6.2
GUANACES,Cascavel,LITORAL DE FORTALEZA,927.1,999,7.8
BEBERIBE,Beberibe,LITORAL DE FORTALEZA,1205.4,998.6,-17.2
ARAPARI,Itapipoca,LITORAL DE PECEM,1021.8,995.1,-2.6
JAMACARU,Missão Velha,CARIRI,1037.5,994.6,-4.1
PACUJA,Pacujá,IBIAPABA,974.8,982.1,0.8
GROAIRAS,Groaíras,IBIAPABA,777.6,965.7,24.2
IPU,Ipu,IBIAPABA,1002,964.5,-3.7
ARACOIABA,Aracoiaba,MACICO DE BATURITE,924.3,964.2,4.3
SALAO,Senador Sá,LITORAL NORTE,881.6,960.5,9
CAPISTRANO,Capistrano,MACICO DE BATURITE,835.5,957,14.5
FORTIM,Fortim,JAGUARIBANA,887.8,956,7.7
TIAIA DE BAIXO,Granja,LITORAL NORTE,879.2,952,8.3
SAMBAIBA,Granja,LITORAL NORTE,1032.1,950.3,-7.9
ABAIARA,Abaiara,CARIRI,925.9,949,2.5
URUOCA,Uruoca,LITORAL NORTE,885.8,944,6.6
MANGABEIRA,Lavras da Mangabeira,CARIRI,791.2,939.3,18.7
AMERICA,Ipueiras,IBIAPABA,877.9,933.8,6.4
PARACUA,Uruoca,LITORAL NORTE,961.8,933.6,-2.9
FZ. AGUAPE,Itarema,LITORAL NORTE,856.8,931.4,8.7
ITAPAJE,Itapajé,LITORAL DE PECEM,856.4,931.2,8.7
CHOROZINHO,Chorozinho,LITORAL DE FORTALEZA,833.7,929,11.4
SINHA SABOIA,Sobral,LITORAL NORTE,758.2,919.8,21.3
AROEIRAS,Coreaú,IBIAPABA,603.6,918,52.1
MILAGRES,Milagres,CARIRI,906.3,913.1,0.8
MUCAMBO,Mucambo,IBIAPABA,1005.9,909,-9.6
ARACATI,Aracati,JAGUARIBANA,904.5,906,0.2
RERIUTABA,Reriutaba,IBIAPABA,884.8,902.4,2
PEIXE,Russas,JAGUARIBANA,631.6,895.8,41.8
SANTA FE,Crato,CARIRI,238.3,893,274.7
ALTANEIRA,Altaneira,CARIRI,821.3,891.6,8.6
OCARA,Ocara,MACICO DE BATURITE,656.7,885.5,34.9
BARBALHA,Barbalha,CARIRI,1055,882.3,-16.4
ITAPIUNA,Itapiúna,MACICO DE BATURITE,747.3,881.1,17.9
LAVRAS DA MANGABEIRA,Lavras da Mangabeira,CARIRI,896.2,880.8,-1.7
BREJINHO,Barro,CARIRI,839.1,875.4,4.3
LAMBEDOURO,Viçosa do Ceará,IBIAPABA,0,865,0
NOVA BETANIA,Nova Russas,IBIAPABA,760.2,864,13.7
SENADOR SA,Senador Sá,LITORAL NORTE,877.6,861.1,-1.9
CARRAPATEIRA,Guaiúba,MACICO DE BATURITE,770.5,859,11.5
SITIO SACO,Porteiras,CARIRI,0,857,0
SITIO FORQUILHA - COGERH,Beberibe,LITORAL DE FORTALEZA,598.6,856.5,43.1
SOBRAL,Sobral,LITORAL NORTE,893.7,856,-4.2
ENGENHO VELHO,Barro,CARIRI,686.9,852.9,24.2
ITAICABA,Itaiçaba,JAGUARIBANA,661.5,851.5,28.7
MARCO,Marco,LITORAL NORTE,863.1,849.5,-1.6
BELA CRUZ,Bela Cruz,LITORAL NORTE,841.9,845,0.4
FORQUILHA,Forquilha,IBIAPABA,725.6,844.1,16.3
FAZENDA COLUMINJUBA,Maranguape,LITORAL DE FORTALEZA,331.4,842,154.1
GENERAL SAMPAIO,General Sampaio,LITORAL DE PECEM,815.9,837.9,2.7
QUIXADA,Quixadá,SERTAO CENTRAL E INHAMUNS,706.4,836.6,18.4
CRUZ,Cruz,LITORAL NORTE,869.7,835.7,-3.9
RUSSAS,Russas,JAGUARIBANA,731.8,832.6,13.8
ICAPUI,Icapuí,JAGUARIBANA,942.3,832,-11.7
SITIO TIPI,Aurora,CARIRI,676.2,830.6,22.8
FRECHEIRINHA,Frecheirinha,IBIAPABA,871.3,828,-5
ELEVATORIO - COGERH,Itaiçaba,JAGUARIBANA,778.7,822.7,5.7
PANACUI,Marco,LITORAL NORTE,742.2,822,10.8
ARARENDA,Ararendá,IBIAPABA,637.5,818,28.3
ITAIPABA,Pacajus,LITORAL DE FORTALEZA,872.2,818,-6.2
BANDEIRA,Itatira,SERTAO CENTRAL E INHAMUNS,628.4,811.8,29.2
TRAPIA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,686.4,811.5,18.2
ESPERANCA,Canindé,SERTAO CENTRAL E INHAMUNS,628.8,810.8,28.9
URUBURETAMA,Uruburetama,LITORAL DE PECEM,1049,810.3,-22.8
MULUNGU,Mulungu,MACICO DE BATURITE,1124.1,806,-28.3
MATRIZ,Ipueiras,IBIAPABA,1034.4,804.7,-22.2
INGAZEIRA,Aurora,CARIRI,821.6,804,-2.1
FAZENDA MUTAMBA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,561.2,795,41.7
CAPIM 1,Groaíras,IBIAPABA,0,794.6,0
IPAUMIRIM,Ipaumirim,CARIRI,908.4,792.8,-12.7
CAMPANARIO,Uruoca,LITORAL NORTE,1000,791,-20.9
ASSARE,Assaré,SERTAO CENTRAL E INHAMUNS,688.2,791,14.9
AC. FORQUILHA,Forquilha,IBIAPABA,362.1,790.8,118.4
PARAZINHO,Granja,LITORAL NORTE,1031.5,788.5,-23.6
PEREIRO,Pereiro,JAGUARIBANA,979.8,785.8,-19.8
IPUEIRAS,Ipueiras,IBIAPABA,933.1,782.2,-16.2
VILA SAO GONCALO-MARROCOS,Juazeiro do Norte,CARIRI,657.7,778.4,18.4
CARVOEIRO,Itarema,LITORAL NORTE,748.5,777,3.8
CHORO,Choró,SERTAO CENTRAL E INHAMUNS,730.5,776.8,6.3
BAIXIO,Baixio,CARIRI,851,775,-8.9
CAMILOS,Meruoca,LITORAL NORTE,970.8,774.4,-20.2
ADRIANOPOLIS,Granja,LITORAL NORTE,1296.1,773,-40.4
SERRA BRAVA,Milagres,CARIRI,0,772.2,0
BORGES,Jaguaruana,JAGUARIBANA,478.7,770.6,61
JAGUARUANA,Jaguaruana,JAGUARIBANA,703.2,769,9.4
ALCANTARAS,Alcântaras,LITORAL NORTE,623.5,767.5,23.1
SALITRE,Canindé,SERTAO CENTRAL E INHAMUNS,385.5,767.3,99
SAO LUIS DO CURU,São Luís do Curu,LITORAL DE PECEM,812.5,767,-5.6
IGUATU,Iguatu,SERTAO CENTRAL E INHAMUNS,967,767,-20.7
AC. PEDRAS BRANCAS,Quixadá,SERTAO CENTRAL E INHAMUNS,274.5,763.8,178.3
SANTO ANTONIO,Ipaumirim,CARIRI,0,763.6,0
JUAZEIRO DO NORTE,Juazeiro do Norte,CARIRI,971.6,762,-21.6
CASA DE PEDRA,Pentecoste,LITORAL DE PECEM,760.7,762,0.2
COMUNIDADE VALDIVINO,Milagres,CARIRI,0,761,0
HIDROLANDIA,Hidrolândia,IBIAPABA,815.8,760,-6.8
IFCE QUIXADA,Quixadá,SERTAO CENTRAL E INHAMUNS,0,750.6,0
MONTE ALEGRE,Barro,CARIRI,782.3,749,-4.3
UBAUNA,Coreaú,IBIAPABA,598.2,748,25
MONTE NEBO,Crateús,SERTAO CENTRAL E INHAMUNS,768.8,744.3,-3.2
MORRINHOS,Morrinhos,LITORAL NORTE,842.2,744,-11.7
AC. AMANARY,Maranguape,LITORAL DE FORTALEZA,48.7,743.9,1427.5
CRISTAIS,Cascavel,LITORAL DE FORTALEZA,721.8,743.7,3
FAZENDA MALAQUIAS,Tejuçuoca,LITORAL DE PECEM,517.6,743,43.6
CUSTODIO,Quixadá,SERTAO CENTRAL E INHAMUNS,576.1,743,29
RIACHO VERDE,Várzea Alegre,CARIRI,856.2,742,-13.3
BETANIA,Deputado Irapuan Pinheiro,SERTAO CENTRAL E INHAMUNS,581.2,740,27.3
ERERE,Ererê,JAGUARIBANA,808.8,737.6,-8.8
BARRO,Barro,CARIRI,823.1,736.6,-10.5
TEJUCUOCA,Tejuçuoca,LITORAL DE PECEM,587.3,736,25.3
LOGRADOURO,Alto Santo,JAGUARIBANA,595.6,735.4,23.5
VARZEA ALEGRE,Várzea Alegre,CARIRI,992.1,734.6,-26
APUIARES,Apuiarés,LITORAL DE PECEM,794,734.3,-7.5
BIXOPA,Limoeiro do Norte,JAGUARIBANA,621.9,734.2,18.1
PALMATORIA,Itapiúna,MACICO DE BATURITE,728,733.1,0.7
SITIO URUBU,Coreaú,IBIAPABA,839,732,-12.8
JUREMA,General Sampaio,LITORAL DE PECEM,356,731.2,105.4
CARIRIACU,Caririaçu,CARIRI,1048.9,731,-30.3
BARRO ALTO,Iguatu,SERTAO CENTRAL E INHAMUNS,586.6,729.4,24.3
PENTECOSTE,Pentecoste,LITORAL DE PECEM,746.2,728.8,-2.3
FLORES,Ipu,IBIAPABA,690.5,728.7,5.5
MAURITI,Mauriti,CARIRI,755.7,727.8,-3.7
SITIO MALHADA,Limoeiro do Norte,JAGUARIBANA,751.3,726.7,-3.3
MISSAO VELHA,Missão Velha,CARIRI,995.7,724.8,-27.2
PARACURU,Paracuru,LITORAL DE PECEM,1290.7,723.7,-43.9
RADAR QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,721.4,0
RAFAEL ARRUDA,Sobral,LITORAL NORTE,621.2,718,15.6
SITIO FERNANDES,Aratuba,MACICO DE BATURITE,0,717.2,0
IBARETAMA,Ibaretama,SERTAO CENTRAL E INHAMUNS,728.4,716,-1.7
CANINDEZINHO,Nova Russas,IBIAPABA,448.4,715,59.5
FARIAS BRITO,Farias Brito,CARIRI,996.4,714.8,-28.3
AC. ARARAS,Varjota,IBIAPABA,376.2,712.9,89.5
POCO DO PAU,Brejo Santo,CARIRI,667.9,711.8,6.6
NOVA RUSSAS,Nova Russas,IBIAPABA,779.7,711,-8.8
QUIXERE,Quixeré,JAGUARIBANA,671.5,710,5.7
GRANJEIRO,Granjeiro,CARIRI,967.6,709.3,-26.7
ASSENTAMENTO NOVO CANAA,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,709,0
GAMELEIRO DE S. SEBASTIAO,Missão Velha,CARIRI,880,707.8,-19.6
CRATO,Crato,CARIRI,1121.6,706.4,-37
FURNAS,Aracoiaba,MACICO DE BATURITE,978.7,706,-27.9
SÃO JOÃO,Ererê,JAGUARIBANA,831.2,705.2,-15.2
MOMBACA,Mombaça,SERTAO CENTRAL E INHAMUNS,766.1,705.1,-8
SAO SEBASTIAO,Cariús,CARIRI,516.3,705,36.6
MIRAIMA,Miraíma,LITORAL NORTE,678.3,702.7,3.6
AC. GENERAL SAMPAIO,General Sampaio,LITORAL DE PECEM,256.2,701.2,173.7
QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,706.2,699.1,-1
TANGENTE,Massapê,LITORAL NORTE,750.8,698.4,-7
PRAIA DA BALEIA,Itapipoca,LITORAL DE PECEM,1127.3,697,-38.2
AMANIUTUBA,Lavras da Mangabeira,CARIRI,639.6,696.5,8.9
EMATERCE,Cedro,CARIRI,0,693.7,0
ACUDE PIRABIBU,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,693.2,0
IRACEMA,Iracema,JAGUARIBANA,809.5,692,-14.5
RIACHO DO ALGODAO,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,689.6,0
PORANGA,Poranga,IBIAPABA,582.4,688,18.1
SITIO VAMBIRA,Viçosa do Ceará,IBIAPABA,834.7,686,-17.8
IBICUITINGA,Ibicuitinga,JAGUARIBANA,705.7,684.6,-3
SAO JOSE DO FAMA,Iracema,JAGUARIBANA,647.7,681,5.1
CARIUS,Cariús,CARIRI,805.4,678,-15.8
EIXAO 2,Morada Nova,JAGUARIBANA,0,676.5,0
LIMOEIRO DO NORTE,Limoeiro do Norte,JAGUARIBANA,741,676.4,-8.7
SITIO CANTO,Umari,CARIRI,739.4,673,-9
RINARÉ,Banabuiú,JAGUARIBANA,354.8,673,89.7
BOA AGUA,Morada Nova,JAGUARIBANA,754.8,670,-11.2
UMIRIM,Umirim,LITORAL DE PECEM,830.9,668.1,-19.6
QUIXELO,Quixelô,SERTAO CENTRAL E INHAMUNS,755.7,663,-12.3
URUAU CARRAPICHO,Beberibe,LITORAL DE FORTALEZA,0,662,0
FAZENDA LACRAIA,Morada Nova,JAGUARIBANA,706.7,661,-6.5
TAPUIARA,Quixadá,SERTAO CENTRAL E INHAMUNS,621.2,659,6.1
BASTIOES,Iracema,JAGUARIBANA,1025.6,658,-35.8
LAGOINHA,Quixeré,JAGUARIBANA,450.9,657.6,45.8
AC. CEDRO,Quixadá,SERTAO CENTRAL E INHAMUNS,282.8,657.4,132.5
LISIEUX,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,0,654.6,0
SITIO TIMBAUBA MACORE,Russas,JAGUARIBANA,716.3,653.9,-8.7
TARRAFAS,Tarrafas,SERTAO CENTRAL E INHAMUNS,673.1,652,-3.1
ACUDE CIPOADA,Morada Nova,JAGUARIBANA,0,650.6,0
FAZENDA NITEROI,Ibaretama,SERTAO CENTRAL E INHAMUNS,845.4,650.6,-23.1
RIACHO VERDE,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,650.6,0
SAO MIGUEL,Quixeramobim,SERTAO CENTRAL E INHAMUNS,621.8,650,4.5
COMUNIDADE GROSSAS,Pereiro,JAGUARIBANA,896.6,647.3,-27.8
AC. PEREIRA DE MIRANDA,Pentecoste,LITORAL DE PECEM,232,647,178.8
CUNCAS,Barro,CARIRI,439.4,645.2,46.8
URUQUE,Quixeramobim,SERTAO CENTRAL E INHAMUNS,895.1,644.5,-28
EMA,Iracema,JAGUARIBANA,646.5,642.5,-0.6
LAGOA DA SERRA,Morada Nova,JAGUARIBANA,764.8,642.4,-16
JUCAS,Jucás,CARIRI,911.5,639,-29.9
CANAUNA,Ipaumirim,CARIRI,847.9,634,-25.2
SITIO SACO,Milagres,CARIRI,0,633.8,0
ACUDE TRAPIA,Pedra Branca,SERTAO CENTRAL E INHAMUNS,734.8,633.5,-13.8
CARIDADE,Caridade,SERTAO CENTRAL E INHAMUNS,590.5,633.4,7.3
VILA FEITOSA,Caririaçu,CARIRI,817.7,633,-22.6
FAZENDA COQUE,Jaguaretama,JAGUARIBANA,733.4,631.8,-13.9
PADRE VIEIRA,Viçosa do Ceará,IBIAPABA,531.9,629,18.3
UMARI,Umari,CARIRI,777,625.4,-19.5
CANINDEZINHO,Potiretama,JAGUARIBANA,679.3,625,-8
IBICUA,Piquet Carneiro,SERTAO CENTRAL E INHAMUNS,726.7,623,-14.3
BAIXIO DE DONANA,Jucás,CARIRI,708.8,621,-12.4
SANTA QUITERIA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,754.7,620.5,-17.8
PALESTINA,Orós,JAGUARIBANA,707.9,620.3,-12.4
CANAFISTULA,Iracema,JAGUARIBANA,0,619.2,0
ICOZINHO,Icó,JAGUARIBANA,498.4,615.1,23.4
SEBASTIAO DE ABREU,Pentecoste,LITORAL DE PECEM,626.1,612.8,-2.1
PORTEIRAS,Porteiras,CARIRI,816.6,609.2,-25.4
ANGICO,Cariús,CARIRI,767.3,608.5,-20.7
VILA ANTONICO,Quixelô,SERTAO CENTRAL E INHAMUNS,767.4,605.7,-21.1
ACUDE SANTA MARIA,Ererê,JAGUARIBANA,0,602,0
AC. QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,88.2,600.3,580.6
SENADOR POMPEU,Senador Pompeu,SERTAO CENTRAL E INHAMUNS,754.5,590.4,-21.8
SERRA DA GUIA,Boa Viagem,SERTAO CENTRAL E INHAMUNS,520.3,589,13.2
PARAMOTI,Paramoti,LITORAL DE PECEM,688.6,587.9,-14.6
BOA VISTA,Várzea Alegre,CARIRI,713.7,585,-18
PASSAGEM - FOGAREIRO,Quixeramobim,SERTAO CENTRAL E INHAMUNS,557.7,585,4.9
BOQUEIRAO,Sobral,LITORAL NORTE,798.9,584.5,-26.8
MANITUBA,Quixeramobim,SERTAO CENTRAL E INHAMUNS,588.9,583.9,-0.8
SANTA TEREZINHA,Crateús,SERTAO CENTRAL E INHAMUNS,446.8,583,30.5
ARACATIACU,Sobral,LITORAL NORTE,487.1,581,19.3
NOVA FLORESTA,Jaguaribe,JAGUARIBANA,597.1,578.1,-3.2
PEIXE GORDO,Icapuí,JAGUARIBANA,717.4,576.6,-19.6
BRUM,Jaguaribe,JAGUARIBANA,0,576.4,0
NOVO ORIENTE,Novo Oriente,SERTAO CENTRAL E INHAMUNS,718.5,575.5,-19.9
MADALENA,Madalena,SERTAO CENTRAL E INHAMUNS,587.4,574.2,-2.2
AC.SANTO ANTONIO BASTIOES,Iracema,JAGUARIBANA,0,573,0
TABULEIRO DO NORTE,Tabuleiro do Norte,JAGUARIBANA,713.6,570.8,-20
SAO BERNARDO,Canindé,SERTAO CENTRAL E INHAMUNS,0,568.8,0
ICO,Icó,JAGUARIBANA,767.7,568,-26
VERA CRUZ,Tauá,SERTAO CENTRAL E INHAMUNS,508.8,568,11.6
BAU,Iguatu,SERTAO CENTRAL E INHAMUNS,825,567,-31.3
CEDRO,Cedro,CARIRI,920.6,566,-38.5
VARZEA NOVA,Antonina do Norte,SERTAO CENTRAL E INHAMUNS,576.9,566,-1.9
SITIO MACAPA,Jati,CARIRI,0,563.9,0
TAMBORIL,Tamboril,SERTAO CENTRAL E INHAMUNS,652.5,563.3,-13.7
MINEIROLANDIA,Pedra Branca,SERTAO CENTRAL E INHAMUNS,744.9,562,-24.6
BREJO SANTO,Brejo Santo,CARIRI,920.7,559.5,-39.2
BANABUIU,Banabuiú,JAGUARIBANA,673.8,559.3,-17
CATUNDA,Catunda,SERTAO CENTRAL E INHAMUNS,682.7,558.2,-18.2
MATA FRESCA,Aracati,JAGUARIBANA,579.8,556.6,-4
SERROTA,Senador Sá,LITORAL NORTE,676.9,553,-18.3
SITIO FAVEIRA,São Benedito,IBIAPABA,675.3,550.8,-18.4
BETANIA,Hidrolândia,IBIAPABA,672,549,-18.3
BREJINHO,Araripe,SERTAO CENTRAL E INHAMUNS,631.2,548.8,-13.1
CAJAZERINHA,Umari,CARIRI,0,547.7,0
ARUARU,Morada Nova,JAGUARIBANA,521.8,544.4,4.3
ARARIPE,Araripe,SERTAO CENTRAL E INHAMUNS,695.4,543,-21.9
AC. SOBRAL,Sobral,LITORAL NORTE,11.7,542.5,4550
NENELANDIA,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,540.8,0
AEROPORTO(CRATEUS),Crateús,SERTAO CENTRAL E INHAMUNS,559.5,540.4,-3.4
GUASSUSSE,Orós,JAGUARIBANA,0,539,0
ACUDE TIGRE,Solonópole,SERTAO CENTRAL E INHAMUNS,0,538,0
ANTONINA DO NORTE,Antonina do Norte,SERTAO CENTRAL E INHAMUNS,633.2,537.9,-15.1
FAZENDA VARZEA ALEGRE,Madalena,SERTAO CENTRAL E INHAMUNS,591.9,537.2,-9.2
ALTO SANTO,Alto Santo,JAGUARIBANA,733.3,536.4,-26.9
SANTO ANTONIO,Ararendá,IBIAPABA,318.4,533,67.4
MILHA,Milhã,SERTAO CENTRAL E INHAMUNS,725.8,532.7,-26.6
CASCUDO,Icó,JAGUARIBANA,681.6,528.5,-22.5
ITATIRA,Itatira,SERTAO CENTRAL E INHAMUNS,635.7,528.3,-16.9
JATI,Jati,CARIRI,722.3,523.5,-27.5
FAZENDA IEMEM,Mombaça,SERTAO CENTRAL E INHAMUNS,0,523.5,0
ARROJADO,Lavras da Mangabeira,CARIRI,336.5,522.8,55.4
DEP. IRAPUAN PINHEIRO,Deputado Irapuan Pinheiro,SERTAO CENTRAL E INHAMUNS,790.5,521,-34.1
JAGUARIBARA,Jaguaribara,JAGUARIBANA,723.8,520.7,-28.1
APRAZIVEL,Sobral,LITORAL NORTE,531.5,520.6,-2.1
INHUPORANGA,Caridade,SERTAO CENTRAL E INHAMUNS,331.8,517,55.8
CAIXA,Acopiara,SERTAO CENTRAL E INHAMUNS,722.3,516,-28.6
SANTANA DO CARIRI,Santana do Cariri,CARIRI,898.8,515.9,-42.6
AMARO,Assaré,SERTAO CENTRAL E INHAMUNS,0,513,0
PINDOGUABA,Tianguá,IBIAPABA,523.2,512,-2.1
ENCANTADO,Quixeramobim,SERTAO CENTRAL E INHAMUNS,564.6,510.8,-9.5
RETIRO GRANDE,Icapuí,JAGUARIBANA,829.4,510.4,-38.5
SERROTE BRANCO,Jaguaretama,JAGUARIBANA,678.5,507.9,-25.1
FAZENDA CAJAZEIRA,Madalena,SERTAO CENTRAL E INHAMUNS,381,504,32.3
AQUINOPOLES,Jaguaribe,JAGUARIBANA,657.6,501,-23.8
