Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
PANACUI,Marco,LITORAL NORTE,742.2,1169.5,57.6
IBOREPI,Lavras da Mangabeira,CARIRI,1026,1169,13.9
SENADOR SA,Senador Sá,LITORAL NORTE,877.6,1163.4,32.6
OLHO DAGUA,Maranguape,LITORAL DE FORTALEZA,0,1162.6,0
MARTINOPOLE,Martinópole,LITORAL NORTE,1010.7,1161.3,14.9
SITIO CHAPADINHA,São Benedito,IBIAPABA,0,1160.7,0
SAO LUIS DO CURU,São Luís do Curu,LITORAL DE PECEM,812.5,1152,41.8
PACUJA,Pacujá,IBIAPABA,974.8,1143.9,17.4
JUCA,Cariré,IBIAPABA,0,1139.8,0
SITIO URUBU,Coreaú,IBIAPABA,839,1132.5,35
APUIARES,Apuiarés,LITORAL DE PECEM,794,1126,41.8
NOVA RUSSAS,Nova Russas,IBIAPABA,779.7,1121.5,43.8
FAZENDA BOM PASTOR,Coreaú,IBIAPABA,0,1121,0
TRAPIA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,686.4,1120.8,63.3
UMIRIM,Umirim,LITORAL DE PECEM,830.9,1120,34.8
SANTO ANTONIO,Ararendá,IBIAPABA,318.4,1112,249.2
IPUEIRAS,Ipueiras,IBIAPABA,933.1,1109.7,18.9
FAZENDA PAU D'ARCO,Itapipoca,LITORAL DE PECEM,680.5,1109.6,63.1
RERIUTABA,Reriutaba,IBIAPABA,884.8,1105.6,25
SANTANA DO CARIRI,Santana do Cariri,CARIRI,898.8,1101.4,22.5
REDENCAO,Redenção,MACICO DE BATURITE,1139.7,1100.7,-3.4
LAGOA DE SANTO ANTONIO,Ararendá,IBIAPABA,0,1099.9,0
MASSAPE,Massapê,LITORAL NORTE,949.7,1096.4,15.4
AMANAIARA,Reriutaba,IBIAPABA,778.2,1093,40.4
CAPISTRANO,Capistrano,MACICO DE BATURITE,835.5,1093,30.8
GRACA,Graça,IBIAPABA,1033.3,1089.5,5.4
AC.SANTO ANTONIO BASTIOES,Iracema,JAGUARIBANA,0,1087,0
CASA DE PEDRA,Pentecoste,LITORAL DE PECEM,760.7,1077,41.6
CRATO,Crato,CARIRI,1121.6,1075,-4.2
CAPIM 1,Groaíras,IBIAPABA,0,1070.2,0
CHOROZINHO,Chorozinho,LITORAL DE FORTALEZA,833.7,1065.2,27.8
SANTA QUITERIA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,754.7,1064.2,41
BATURITE,Baturité,MACICO DE BATURITE,1053.4,1064.1,1
MORRINHOS,Morrinhos,LITORAL NORTE,842.2,1064,26.3
MARCO,Marco,LITORAL NORTE,863.1,1060.2,22.8
OCARA,Ocara,MACICO DE BATURITE,656.7,1057.5,61
AEROPORTO DE ARACATI,Aracati,JAGUARIBANA,863.7,1054,22
BARREIRA,Barreira,MACICO DE BATURITE,832,1048.9,26.1
DAMIAO,Ipu,IBIAPABA,0,1047.5,0
IBARETAMA,Ibaretama,SERTAO CENTRAL E INHAMUNS,728.4,1040.1,42.8
ARACOIABA,Aracoiaba,MACICO DE BATURITE,924.3,1039.5,12.5
FORQUILHA,Forquilha,IBIAPABA,725.6,1037.4,43
SINHA SABOIA,Sobral,LITORAL NORTE,758.2,1034.9,36.5
SALAO,Senador Sá,LITORAL NORTE,881.6,1033.4,17.2
ACARAPE,Acarape,MACICO DE BATURITE,999.5,1030,3.1
CAIOCA,Sobral,LITORAL NORTE,651.8,1028.7,57.8
CATUNDA,Catunda,SERTAO CENTRAL E INHAMUNS,682.7,1028,50.6
ITAPAJE,Itapajé,LITORAL DE PECEM,856.4,1022.2,19.4
ARARENDA,Ararendá,IBIAPABA,637.5,1020.7,60.1
SITIO FAVEIRA,São Benedito,IBIAPABA,675.3,1020,51.1
CACIMBAS,Cariré,IBIAPABA,0,1017,0
SARGENTO,Jaguaruana,JAGUARIBANA,0,1017,0
SITIO CAMPO LIMPO,Russas,JAGUARIBANA,0,1008.5,0
GAMELEIRA,Massapê,LITORAL NORTE,0,1005.4,0
CURUPIRA,Ocara,MACICO DE BATURITE,689.5,1005,45.8
MARRUAS DOS PAIVA,Ipu,IBIAPABA,0,997,0
ARATUBA,Aratuba,MACICO DE BATURITE,1141.9,995.8,-12.8
FURNAS,Aracoiaba,MACICO DE BATURITE,978.7,992.5,1.4
MUCAMBO,Mucambo,IBIAPABA,1005.9,992,-1.4
BARRA DE SITIA,Banabuiú,JAGUARIBANA,633.6,987.4,55.8
HIDROLANDIA,Hidrolândia,IBIAPABA,815.8,987,21
RIACHO DO ALGODAO,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,984.1,0
JAMACARU,Missão Velha,CARIRI,1037.5,983.8,-5.2
SITIO TIMBAUBA MACORE,Russas,JAGUARIBANA,716.3,982.9,37.2
SAO JOSE DO FAMA,Iracema,JAGUARIBANA,647.7,980,51.3
ACUDE BATENTE,Ocara,MACICO DE BATURITE,0,980,0
PEIXE GORDO,Icapuí,JAGUARIBANA,717.4,979,36.5
AC. FORQUILHA,Forquilha,IBIAPABA,362.1,977.5,170
GROAIRAS,Groaíras,IBIAPABA,777.6,963.7,23.9
BASTIOES,Iracema,JAGUARIBANA,1025.6,962.9,-6.1
SITIO VAMBIRA,Viçosa do Ceará,IBIAPABA,834.7,962.5,15.3
ALCANTARAS,Alcântaras,LITORAL NORTE,623.5,962.5,54.4
CAMILOS,Meruoca,LITORAL NORTE,970.8,955.8,-1.6
SOBRAL,Sobral,LITORAL NORTE,893.7,951.5,6.5
AC. SOBRAL,Sobral,LITORAL NORTE,11.7,950.3,8045.4
FAZENDA MUTAMBA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,561.2,946,68.6
IPAUMIRIM,Ipaumirim,CARIRI,908.4,940.3,3.5
SITIO FERNANDES,Aratuba,MACICO DE BATURITE,0,936.3,0
IGUATU,Iguatu,SERTAO CENTRAL E INHAMUNS,967,933,-3.5
GENERAL SAMPAIO,General Sampaio,LITORAL DE PECEM,815.9,929.9,14
COMUNIDADE GROSSAS,Pereiro,JAGUARIBANA,896.6,924.3,3.1
DOM LEME,Santana do Cariri,CARIRI,0,920.2,0
BONFIM,Sobral,LITORAL NORTE,697.2,917.9,31.7
SERRA DA GUIA,Boa Viagem,SERTAO CENTRAL E INHAMUNS,520.3,917.9,76.4
JUBAIA,Maranguape,LITORAL DE FORTALEZA,836.4,917.5,9.7
SEBASTIAO DE ABREU,Pentecoste,LITORAL DE PECEM,626.1,916.8,46.4
BORGES,Jaguaruana,JAGUARIBANA,478.7,915.9,91.3
VILA FEITOSA,Caririaçu,CARIRI,817.7,915,11.9
JUAZEIRO DO NORTE,Juazeiro do Norte,CARIRI,971.6,911,-6.2
CASCUDO,Icó,JAGUARIBANA,681.6,909.5,33.4
ITAPEBUSSU,Maranguape,LITORAL DE FORTALEZA,666,906.6,36.1
LISIEUX,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,0,905.6,0
ARROJADO,Lavras da Mangabeira,CARIRI,336.5,900,167.5
ITAIPABA,Pacajus,LITORAL DE FORTALEZA,872.2,897,2.8
EMA,Iracema,JAGUARIBANA,646.5,896.2,38.6
FAZENDA NITEROI,Ibaretama,SERTAO CENTRAL E INHAMUNS,845.4,895.5,5.9
BOTIJA,Guaramiranga,MACICO DE BATURITE,0,895.4,0
ITAICABA,Itaiçaba,JAGUARIBANA,661.5,895.3,35.4
AEROPORTO(CRATEUS),Crateús,SERTAO CENTRAL E INHAMUNS,559.5,894,59.8
MANGABEIRA,Lavras da Mangabeira,CARIRI,791.2,891.1,12.6
PENTECOSTE,Pentecoste,LITORAL DE PECEM,746.2,890.7,19.4
CORREGO ESPERANÇA,Palhano,JAGUARIBANA,0,889,0
AC. PEREIRA DE MIRANDA,Pentecoste,LITORAL DE PECEM,232,887.9,282.7
QUIXERE,Quixeré,JAGUARIBANA,671.5,885.8,31.9
BIXOPA,Limoeiro do Norte,JAGUARIBANA,621.9,884.6,42.2
MISSAO VELHA,Missão Velha,CARIRI,995.7,882.5,-11.4
ENGENHO VELHO,Barro,CARIRI,686.9,873.2,27.1
CANINDEZINHO,Nova Russas,IBIAPABA,448.4,873,94.7
ICAPUI,Icapuí,JAGUARIBANA,942.3,873,-7.4
JACUIPE NASCENTE,Amontada,LITORAL NORTE,0,870.5,0
IRACEMA,Iracema,JAGUARIBANA,809.5,869,7.4
FARIAS BRITO,Farias Brito,CARIRI,996.4,868.6,-12.8
BETANIA,Hidrolândia,IBIAPABA,672,867.4,29.1
CRISTAIS,Cascavel,LITORAL DE FORTALEZA,721.8,866.7,20.1
MORRINHOS NOVOS,Guaraciaba do Norte,IBIAPABA,541.1,865,59.9
PARAISO,Catunda,SERTAO CENTRAL E INHAMUNS,516.3,865,67.5
BAIXIO,Baixio,CARIRI,851,864,1.5
BOA AGUA,Morada Nova,JAGUARIBANA,754.8,857,13.5
SANTA VITORIA - LAGES,Aurora,CARIRI,0,856.4,0
BETANIA,Deputado Irapuan Pinheiro,SERTAO CENTRAL E INHAMUNS,581.2,854.1,47
PEDRA BRANCA,Pedra Branca,SERTAO CENTRAL E INHAMUNS,813.7,851.2,4.6
ARATAMA,Assaré,SERTAO CENTRAL E INHAMUNS,658.1,851,29.3
ACUDE CIPOADA,Morada Nova,JAGUARIBANA,0,850.7,0
CAPIM GROSSO,Russas,JAGUARIBANA,692.6,848.3,22.5
SITIO TIPI,Aurora,CARIRI,676.2,847.3,25.3
SITIO SACO,Porteiras,CARIRI,0,847,0
PATOS,Morada Nova,JAGUARIBANA,635.9,847,33.2
LIMOEIRO DO NORTE,Limoeiro do Norte,JAGUARIBANA,741,846.7,14.3
BARBALHA,Barbalha,CARIRI,1055,845.8,-19.8
RETIRO GRANDE,Icapuí,JAGUARIBANA,829.4,842.8,1.6
QUITAIUS,Lavras da Mangabeira,CARIRI,941.3,841,-10.7
UBAUNA,Coreaú,IBIAPABA,598.2,839.7,40.4
IBUGUACU,Granja,LITORAL NORTE,715,837,17.1
JUREMA,Paramoti,LITORAL DE PECEM,0,836,0
BOA VISTA,Várzea Alegre,CARIRI,713.7,834,16.9
SITIO MALHADA,Limoeiro do Norte,JAGUARIBANA,751.3,833.1,10.9
TEJUCUOCA,Tejuçuoca,LITORAL DE PECEM,587.3,832,41.7
BOA ESPERANCA,Tamboril,SERTAO CENTRAL E INHAMUNS,543.6,829,52.5
AC. AYRES DE SOUZA,Sobral,LITORAL NORTE,114.3,827.7,624.2
AMANIUTUBA,Lavras da Mangabeira,CARIRI,639.6,827.5,29.4
TABULEIRO DO NORTE,Tabuleiro do Norte,JAGUARIBANA,713.6,827.1,15.9
FAZENDA MALAQUIAS,Tejuçuoca,LITORAL DE PECEM,517.6,826,59.6
LAGOA GRANDE,Russas,JAGUARIBANA,449.3,822,83
CARIRE,Cariré,IBIAPABA,868.1,821,-5.4
SALGADO DOS MACHADOS,Sobral,LITORAL NORTE,667.3,819.8,22.9
PEREIRO,Pereiro,JAGUARIBANA,979.8,818,-16.5
CRUZ,Quiterianópolis,SERTAO CENTRAL E INHAMUNS,435.4,818,87.9
ASSENTAMENTO NOVO CANAA,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,816.8,0
MILAGRES,Milagres,CARIRI,906.3,815.1,-10.1
MONTE NEBO,Crateús,SERTAO CENTRAL E INHAMUNS,768.8,808.2,5.1
JAGUARUANA,Jaguaruana,JAGUARIBANA,703.2,806.5,14.7
FAZENDA BOA VISTA,Itapiúna,MACICO DE BATURITE,0,804.5,0
MONTE ALEGRE,Barro,CARIRI,782.3,803,2.7
SERRAGEM,Ocara,MACICO DE BATURITE,639.9,802,25.3
FAZENDA COQUE,Jaguaretama,JAGUARIBANA,733.4,801.6,9.3
SITIO SACO,Milagres,CARIRI,0,800.3,0
PORTEIRAS,Porteiras,CARIRI,816.6,793.6,-2.8
SÃO JOÃO,Ererê,JAGUARIBANA,831.2,793,-4.6
AC. ARARAS,Varjota,IBIAPABA,376.2,792.3,110.6
ANGICO,Cariús,CARIRI,767.3,791.5,3.2
EMATERCE,Cedro,CARIRI,0,790.7,0
VARZEA ALEGRE,Várzea Alegre,CARIRI,992.1,790.4,-20.3
ACUDE CARAO,Tamboril,SERTAO CENTRAL E INHAMUNS,0,790,0
SAO MIGUEL,Quixeramobim,SERTAO CENTRAL E INHAMUNS,621.8,789,26.9
ARARIPE,Araripe,SERTAO CENTRAL E INHAMUNS,695.4,785,12.9
GIQUI,Jaguaruana,JAGUARIBANA,564.3,784.1,39
CUNCAS,Barro,CARIRI,439.4,783,78.2
DOM QUINTINO,Crato,CARIRI,734.5,782,6.5
LAGOINHA,Quixeré,JAGUARIBANA,450.9,781.4,73.3
JAGUARIBARA,Jaguaribara,JAGUARIBANA,723.8,778.3,7.5
ITAPIUNA,Itapiúna,MACICO DE BATURITE,747.3,776.1,3.9
LACERDA,Quixeramobim,SERTAO CENTRAL E INHAMUNS,522.6,776,48.5
CANAFISTULA,Iracema,JAGUARIBANA,0,775.2,0
AMONTADA,Amontada,LITORAL NORTE,631.1,775,22.8
SITIO CATOLÉ DA PISTA,Piquet Carneiro,SERTAO CENTRAL E INHAMUNS,0,774.4,0
CARIUS,Cariús,CARIRI,805.4,774,-3.9
MISSI,Irauçuba,LITORAL DE PECEM,582.4,773,32.7
MANITUBA,Quixeramobim,SERTAO CENTRAL E INHAMUNS,588.9,772.4,31.2
ALTANEIRA,Altaneira,CARIRI,821.3,772.3,-6
SENADOR POMPEU,Senador Pompeu,SERTAO CENTRAL E INHAMUNS,754.5,771.2,2.2
NOVA OLINDA,Nova Olinda,CARIRI,885.3,770,-13
IBICUITINGA,Ibicuitinga,JAGUARIBANA,705.7,767.8,8.8
AC. PEDRAS BRANCAS,Quixadá,SERTAO CENTRAL E INHAMUNS,274.5,767,179.5
IRAPUA,Crateús,SERTAO CENTRAL E INHAMUNS,446.3,764.3,71.3
DIPAN-ESCRITORIO DO DNOCS,Varjota,IBIAPABA,0,764,0
RADAR QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,762,0
PAUS BRANCOS,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,762,0
VILA ESCONDIDO,Potengi,SERTAO CENTRAL E INHAMUNS,0,759.7,0
MATA FRESCA,Aracati,JAGUARIBANA,579.8,758.6,30.8
GAMELEIRO DE S. SEBASTIAO,Missão Velha,CARIRI,880,755.6,-14.1
BREJO SANTO,Brejo Santo,CARIRI,920.7,753.5,-18.2
ELEVATORIO - COGERH,Itaiçaba,JAGUARIBANA,778.7,752.5,-3.4
VERA CRUZ,Tauá,SERTAO CENTRAL E INHAMUNS,508.8,752,47.8
SITIO MACAPA,Jati,CARIRI,0,751.8,0
POTIRETAMA,Potiretama,JAGUARIBANA,651.5,749.6,15.1
NOVO ORIENTE,Novo Oriente,SERTAO CENTRAL E INHAMUNS,718.5,749.6,4.3
SITIO FORQUILHA - COGERH,Beberibe,LITORAL DE FORTALEZA,598.6,749.3,25.2
CASTANHAO,Alto Santo,JAGUARIBANA,664.5,746.8,12.4
VARZEA DA CONCEICAO,Cedro,CARIRI,833,746,-10.4
OLIVEIRA,Tamboril,SERTAO CENTRAL E INHAMUNS,542.9,744,37
RIACHO VERDE,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,743.6,0
SAO SEBASTIAO,Cariús,CARIRI,516.3,739.2,43.2
ACUDE TRAPIA,Pedra Branca,SERTAO CENTRAL E INHAMUNS,734.8,738.5,0.5
SANTO ANTONIO,Ipaumirim,CARIRI,0,738,0
ACUDE SAO JOSE I,Boa Viagem,SERTAO CENTRAL E INHAMUNS,0,737,0
BREJINHO,Barro,CARIRI,839.1,735,-12.4
MOMBACA,Mombaça,SERTAO CENTRAL E INHAMUNS,766.1,734.1,-4.2
JUCAS,Jucás,CARIRI,911.5,730,-19.9
SANTA CRUZ,Amontada,LITORAL NORTE,0,729,0
APRAZIVEL,Sobral,LITORAL NORTE,531.5,728.9,37.1
UIRAPONGA,Morada Nova,JAGUARIBANA,622.3,726,16.7
RAIMUNDO MARTINS,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,519.9,725.6,39.6
PALHANO,Palhano,JAGUARIBANA,718.3,724.2,0.8
BOA VIAGEM,Boa Viagem,SERTAO CENTRAL E INHAMUNS,661.4,724,9.5
PEIXE,Russas,JAGUARIBANA,631.6,723.3,14.5
AURORA,Aurora,CARIRI,933.2,722.6,-22.6
AC. AMANARY,Maranguape,LITORAL DE FORTALEZA,48.7,719.5,1377.4
FAZENDA GRACINHA,Crateús,SERTAO CENTRAL E INHAMUNS,540.4,719,33
FAZENDA LACRAIA,Morada Nova,JAGUARIBANA,706.7,716.5,1.4
SITIO SAO PEDRO,Ipaumirim,CARIRI,0,716.2,0
SAO MIGUEL,Mauriti,CARIRI,730.6,716,-2
SOLONOPOLE,Solonópole,SERTAO CENTRAL E INHAMUNS,753.1,713.6,-5.3
CANA BRAVA DOS FERREIRAS,Granjeiro,CARIRI,0,713,0
TAPERUABA,Sobral,LITORAL NORTE,463.1,713,54
AÇUDE FIGUEIREDO,Iracema,JAGUARIBANA,0,710.1,0
PORANGA,Poranga,IBIAPABA,582.4,707,21.4
BARRO ALTO,Iguatu,SERTAO CENTRAL E INHAMUNS,586.6,706.2,20.4
ARUARU,Morada Nova,JAGUARIBANA,521.8,705.8,35.3
FAZENDA LOGRADOURO,São João do Jaguaribe,JAGUARIBANA,587.6,705.5,20.1
LAVRAS DA MANGABEIRA,Lavras da Mangabeira,CARIRI,896.2,700.7,-21.8
QUIXOA,Iguatu,SERTAO CENTRAL E INHAMUNS,782.3,700.6,-10.4
CARNAUBAL,Carnaubal,IBIAPABA,638.1,700,9.7
CARIDADE,Caridade,SERTAO CENTRAL E INHAMUNS,590.5,699.8,18.5
ENCANTADO,Quixeramobim,SERTAO CENTRAL E INHAMUNS,564.6,699.4,23.9
LAMBEDOURO,Viçosa do Ceará,IBIAPABA,0,698,0
PARAMOTI,Paramoti,LITORAL DE PECEM,688.6,698,1.4
BREJINHO,Araripe,SERTAO CENTRAL E INHAMUNS,631.2,697.8,10.5
IFCE QUIXADA,Quixadá,SERTAO CENTRAL E INHAMUNS,0,696.8,0
ARACATIACU,Sobral,LITORAL NORTE,487.1,696,42.9
AC. CEDRO,Quixadá,SERTAO CENTRAL E INHAMUNS,282.8,694.2,145.5
SAO JOAO DO JAGUARIBE,São João do Jaguaribe,JAGUARIBANA,705.7,692.8,-1.8
TAPUIARA,Quixadá,SERTAO CENTRAL E INHAMUNS,621.2,692,11.4
POCO DO PAU,Brejo Santo,CARIRI,667.9,691.8,3.6
IRAUCUBA,Irauçuba,LITORAL DE PECEM,456.7,691.6,51.4
TAMBORIL,Tamboril,SERTAO CENTRAL E INHAMUNS,652.5,690.2,5.8
ICOZINHO,Icó,JAGUARIBANA,498.4,688.5,38.2
SITIO TRANQUEIRA,Lavras da Mangabeira,CARIRI,0,686.5,0
PALESTINA,Orós,JAGUARIBANA,707.9,685.2,-3.2
RIACHO VERDE,Várzea Alegre,CARIRI,856.2,685,-20
PADRE VIEIRA,Viçosa do Ceará,IBIAPABA,531.9,685,28.8
