Posto,Município,Região,Normal (mm),Observado (mm),Desvio (%)
PRAIA DA BALEIA,Itapipoca,LITORAL DE PECEM,1127.3,1015.8,-9.9
ESCOLA PROF LUIZA TEODORO,Pacatuba,LITORAL DE FORTALEZA,0,1012.7,0
FAZENDA LAGOA DAS MERCES,Itapipoca,LITORAL DE PECEM,756,991.1,31.1
CROATA,São Gonçalo do Amarante,LITORAL DE PECEM,375.9,987.3,162.6
LAGOA DO CARNEIRO,Acaraú,LITORAL NORTE,849.5,983.4,15.8
MULUNGU,Mulungu,MACICO DE BATURITE,1124.1,977,-13.1
TANQUES,Maranguape,LITORAL DE FORTALEZA,896.7,966,7.7
CAGADO,São Gonçalo do Amarante,LITORAL DE PECEM,0,957,0
ARATUBA,Aratuba,MACICO DE BATURITE,1141.9,949,-16.9
CARRAPATEIRA,Guaiúba,MACICO DE BATURITE,770.5,943,22.4
OLHO DAGUA,Maranguape,LITORAL DE FORTALEZA,0,937.1,0
SANTA FE,Crato,CARIRI,238.3,935,292.3
FAZENDA LAGES,Trairi,LITORAL DE PECEM,1431.3,935,-34.7
ARAPARI,Itapipoca,LITORAL DE PECEM,1021.8,920.9,-9.9
SANTA CRUZ,Itapajé,LITORAL DE PECEM,1150.4,903,-21.5
BEBERIBE,Beberibe,LITORAL DE FORTALEZA,1205.4,902,-25.2
BATURITE,Baturité,MACICO DE BATURITE,1053.4,899,-14.7
TIANGUA,Tianguá,IBIAPABA,1253.5,898.2,-28.3
CRATO,Crato,CARIRI,1121.6,873.3,-22.1
JERICOACOARA,Jijoca de Jericoacoara,LITORAL NORTE,507,868,71.2
TIAIA DE BAIXO,Granja,LITORAL NORTE,879.2,862,-2
ITAPIPOCA,Itapipoca,LITORAL DE PECEM,1052.2,861,-18.2
MANHOSO,Viçosa do Ceará,IBIAPABA,1105.7,859.3,-22.3
ARACATIARA,Amontada,LITORAL NORTE,621.6,851,36.9
PACAJUS,Pacajus,LITORAL DE FORTALEZA,918.4,846.9,-7.8
ACARAPE,Acarape,MACICO DE BATURITE,999.5,846,-15.4
AMERICA,Ipueiras,IBIAPABA,877.9,845.2,-3.7
CAMOCIM,Camocim,LITORAL NORTE,1105.6,844.7,-23.6
PICADA,Guaraciaba do Norte,IBIAPABA,919.1,841,-8.5
GAMELEIRO DE S. SEBASTIAO,Missão Velha,CARIRI,880,838,-4.8
ITAPAJE,Itapajé,LITORAL DE PECEM,856.4,828.9,-3.2
MATRIZ,Ipueiras,IBIAPABA,1034.4,813,-21.4
ARACOIABA,Aracoiaba,MACICO DE BATURITE,924.3,802,-13.2
IGUATU,Iguatu,SERTAO CENTRAL E INHAMUNS,967,785,-18.8
MORAUJO,Moraújo,LITORAL NORTE,1041.2,783,-24.8
BELA CRUZ,Bela Cruz,LITORAL NORTE,841.9,777,-7.7
CARVOEIRO,Itarema,LITORAL NORTE,748.5,774,3.4
JAMACARU,Missão Velha,CARIRI,1037.5,772,-25.6
SITIO SACO,Porteiras,CARIRI,0,764.7,0
SAO GONCALO DO AMARANTE,São Gonçalo do Amarante,LITORAL DE PECEM,970,762.8,-21.4
FZ. AGUAPE,Itarema,LITORAL NORTE,856.8,762,-11.1
PARAMOTI,Paramoti,LITORAL DE PECEM,688.6,759.5,10.3
GRANJA,Granja,LITORAL NORTE,1099.4,759.4,-30.9
BARREIRA,Barreira,MACICO DE BATURITE,832,752.1,-9.6
ITAIPABA,Pacajus,LITORAL DE FORTALEZA,872.2,750,-14
JUAZEIRO DO NORTE,Juazeiro do Norte,CARIRI,971.6,740,-23.8
PARACUA,Uruoca,LITORAL NORTE,961.8,739.7,-23.1
GRACA,Graça,IBIAPABA,1033.3,734.5,-28.9
SALAO,Senador Sá,LITORAL NORTE,881.6,732.2,-17
SITIO VAMBIRA,Viçosa do Ceará,IBIAPABA,834.7,727.4,-12.9
UMIRIM,Umirim,LITORAL DE PECEM,830.9,722.4,-13.1
GURIU,Camocim,LITORAL NORTE,348.5,720.7,106.8
SEBASTIAO DE ABREU,Pentecoste,LITORAL DE PECEM,626.1,713.4,13.9
CASCUDO,Icó,JAGUARIBANA,681.6,710,4.2
ITAPIUNA,Itapiúna,MACICO DE BATURITE,747.3,706.2,-5.5
IBOREPI,Lavras da Mangabeira,CARIRI,1026,705,-31.3
PARAZINHO,Granja,LITORAL NORTE,1031.5,704.7,-31.7
CHAVAL,Chaval,LITORAL NORTE,876.8,701.3,-20
AC. AMANARY,Maranguape,LITORAL DE FORTALEZA,48.7,697.5,1332.2
MARTINOPOLE,Martinópole,LITORAL NORTE,1010.7,692,-31.5
FORTIM,Fortim,JAGUARIBANA,887.8,690.6,-22.2
MINEIROLANDIA,Pedra Branca,SERTAO CENTRAL E INHAMUNS,744.9,686,-7.9
IPUEIRAS,Ipueiras,IBIAPABA,933.1,685.4,-26.5
GUARACIABA DO NORTE,Guaraciaba do Norte,IBIAPABA,1247,682.4,-45.3
CAPISTRANO,Capistrano,MACICO DE BATURITE,835.5,682,-18.4
URUBURETAMA,Uruburetama,LITORAL DE PECEM,1049,676.8,-35.5
OCARA,Ocara,MACICO DE BATURITE,656.7,675.9,2.9
TIMONHA,Granja,LITORAL NORTE,1303.7,668,-48.8
SANTANA DO ACARAU,Santana do Acaraú,LITORAL NORTE,831.1,664.1,-20.1
BREJINHO,Barro,CARIRI,839.1,660.9,-21.2
IPU,Ipu,IBIAPABA,1002,660.9,-34
ARACATI,Aracati,JAGUARIBANA,904.5,658.5,-27.2
ACOPIARA,Acopiara,SERTAO CENTRAL E INHAMUNS,744,657,-11.7
PALMATORIA,Itapiúna,MACICO DE BATURITE,728,656.6,-9.8
SOBRAL,Sobral,LITORAL NORTE,893.7,656,-26.6
ALCANTARAS,Alcântaras,LITORAL NORTE,623.5,655.3,5.1
SAO LUIS DO CURU,São Luís do Curu,LITORAL DE PECEM,812.5,655,-19.4
GENERAL SAMPAIO,General Sampaio,LITORAL DE PECEM,815.9,654,-19.8
NOVA BETANIA,Nova Russas,IBIAPABA,760.2,651.5,-14.3
AC. GENERAL SAMPAIO,General Sampaio,LITORAL DE PECEM,256.2,650.6,153.9
SENADOR SA,Senador Sá,LITORAL NORTE,877.6,643.9,-26.6
URUOCA,Uruoca,LITORAL NORTE,885.8,643.6,-27.3
RERIUTABA,Reriutaba,IBIAPABA,884.8,641.2,-27.5
CHOROZINHO,Chorozinho,LITORAL DE FORTALEZA,833.7,641,-23.1
CRISTAIS,Cascavel,LITORAL DE FORTALEZA,721.8,632,-12.4
ITAICABA,Itaiçaba,JAGUARIBANA,661.5,631,-4.6
CARIRE,Cariré,IBIAPABA,868.1,627.9,-27.7
MUCAMBO,Mucambo,IBIAPABA,1005.9,626,-37.8
AMONTADA,Amontada,LITORAL NORTE,631.1,625.4,-0.9
BARRO ALTO,Iguatu,SERTAO CENTRAL E INHAMUNS,586.6,623.6,6.3
BREJO SANTO,Brejo Santo,CARIRI,920.7,622.9,-32.3
BREJINHO,Araripe,SERTAO CENTRAL E INHAMUNS,631.2,621.9,-1.5
SINHA SABOIA,Sobral,LITORAL NORTE,758.2,621.2,-18.1
JATOBA,Camocim,LITORAL NORTE,816,620.3,-24
PEREIRO,Pereiro,JAGUARIBANA,979.8,619.2,-36.8
CASA DE PEDRA,Pentecoste,LITORAL DE PECEM,760.7,618,-18.8
PANACUI,Marco,LITORAL NORTE,742.2,614,-17.3
MORRINHOS,Morrinhos,LITORAL NORTE,842.2,613,-27.2
ICAPUI,Icapuí,JAGUARIBANA,942.3,610,-35.3
QUIXELO,Quixelô,SERTAO CENTRAL E INHAMUNS,755.7,609,-19.4
SAMBAIBA,Granja,LITORAL NORTE,1032.1,607.8,-41.1
URUAU CARRAPICHO,Beberibe,LITORAL DE FORTALEZA,0,607.5,0
SANTANA DO CARIRI,Santana do Cariri,CARIRI,898.8,606,-32.6
CRATEUS,Crateús,SERTAO CENTRAL E INHAMUNS,704.1,601.5,-14.6
BARAO DE AQUIRAZ,Campos Sales,SERTAO CENTRAL E INHAMUNS,443.7,601.4,35.5
PORANGA,Poranga,IBIAPABA,582.4,600,3
SITIO URUBU,Coreaú,IBIAPABA,839,600,-28.5
GROAIRAS,Groaíras,IBIAPABA,777.6,599.2,-22.9
ERERE,Ererê,JAGUARIBANA,808.8,599.2,-25.9
FRECHEIRINHA,Frecheirinha,IBIAPABA,871.3,595,-31.7
CARIRIACU,Caririaçu,CARIRI,1048.9,593,-43.5
ELEVATORIO - COGERH,Itaiçaba,JAGUARIBANA,778.7,593,-23.8
ALTANEIRA,Altaneira,CARIRI,821.3,591.9,-27.9
TRES BODEGAS,Icó,JAGUARIBANA,605,590.5,-2.4
GUANACES,Cascavel,LITORAL DE FORTALEZA,927.1,588,-36.6
RETIRO GRANDE,Icapuí,JAGUARIBANA,829.4,587,-29.2
LAGOA DA SERRA,Morada Nova,JAGUARIBANA,764.8,585,-23.5
SITIO TIPI,Aurora,CARIRI,676.2,580.9,-14.1
PENTECOSTE,Pentecoste,LITORAL DE PECEM,746.2,579,-22.4
UBAUNA,Coreaú,IBIAPABA,598.2,578.8,-3.3
BAIXIO DE DONANA,Jucás,CARIRI,708.8,578,-18.5
AC. PEREIRA DE MIRANDA,Pentecoste,LITORAL DE PECEM,232,577.1,148.7
JUCAS,Jucás,CARIRI,911.5,577,-36.7
INGAZEIRA,Aurora,CARIRI,821.6,577,-29.8
GRANJEIRO,Granjeiro,CARIRI,967.6,576.4,-40.4
FARIAS BRITO,Farias Brito,CARIRI,996.4,574.4,-42.4
VARZEA DA CONCEICAO,Cedro,CARIRI,833,574,-31.1
PORTEIRAS,Porteiras,CARIRI,816.6,573.5,-29.8
CAIXA,Acopiara,SERTAO CENTRAL E INHAMUNS,722.3,572,-20.8
CAMPANARIO,Uruoca,LITORAL NORTE,1000,571,-42.9
JORDAO,Sobral,LITORAL NORTE,940,567,-39.7
IBARETAMA,Ibaretama,SERTAO CENTRAL E INHAMUNS,728.4,566.6,-22.2
CARIDADE,Caridade,SERTAO CENTRAL E INHAMUNS,590.5,566,-4.1
ADRIANOPOLIS,Granja,LITORAL NORTE,1296.1,562,-56.6
BAU,Iguatu,SERTAO CENTRAL E INHAMUNS,825,560,-32.1
SITIO MACAPA,Jati,CARIRI,0,556.8,0
QUITAIUS,Lavras da Mangabeira,CARIRI,941.3,556.5,-40.9
MILAGRES,Milagres,CARIRI,906.3,554.8,-38.8
FAZENDA LACRAIA,Morada Nova,JAGUARIBANA,706.7,553.6,-21.7
AC. SOBRAL,Sobral,LITORAL NORTE,11.7,553.2,4641.7
TURURU,Tururu,LITORAL DE PECEM,866.8,552.8,-36.2
SERROTA,Senador Sá,LITORAL NORTE,676.9,551,-18.6
MIRAIMA,Miraíma,LITORAL NORTE,678.3,550.8,-18.8
IRACEMA,Iracema,JAGUARIBANA,809.5,548,-32.3
CONCEICAO,Hidrolândia,IBIAPABA,803.7,544,-32.3
OROS,Orós,JAGUARIBANA,808.4,543.2,-32.8
FAZENDA MORADA NOVA,Acopiara,SERTAO CENTRAL E INHAMUNS,579.3,543,-6.3
CRUZ,Quiterianópolis,SERTAO CENTRAL E INHAMUNS,435.4,543,24.7
POCO DO PAU,Brejo Santo,CARIRI,667.9,540.2,-19.1
MISSAO VELHA,Missão Velha,CARIRI,995.7,539,-45.9
RUSSAS,Russas,JAGUARIBANA,731.8,538,-26.5
FAZENDA NITEROI,Ibaretama,SERTAO CENTRAL E INHAMUNS,845.4,537.5,-36.4
APUIARES,Apuiarés,LITORAL DE PECEM,794,537,-32.4
BARRA DAS MOITAS,Amontada,LITORAL NORTE,0,535,0
QUIXOA,Iguatu,SERTAO CENTRAL E INHAMUNS,782.3,534.2,-31.7
BETANIA,Deputado Irapuan Pinheiro,SERTAO CENTRAL E INHAMUNS,581.2,533,-8.3
SENADOR POMPEU,Senador Pompeu,SERTAO CENTRAL E INHAMUNS,754.5,532.8,-29.4
PEDRA BRANCA,Pedra Branca,SERTAO CENTRAL E INHAMUNS,813.7,532.4,-34.6
SOLONOPOLE,Solonópole,SERTAO CENTRAL E INHAMUNS,753.1,531.8,-29.4
RIACHO VERMELHO,Iguatu,SERTAO CENTRAL E INHAMUNS,749.4,530,-29.3
ACUDE TIGRE,Solonópole,SERTAO CENTRAL E INHAMUNS,0,530,0
BAIXIO,Baixio,CARIRI,851,525,-38.3
VILA FEITOSA,Caririaçu,CARIRI,817.7,524,-35.9
NOVA OLINDA,Nova Olinda,CARIRI,885.3,523.6,-40.9
LAVRAS DA MANGABEIRA,Lavras da Mangabeira,CARIRI,896.2,523.5,-41.6
CAMILOS,Meruoca,LITORAL NORTE,970.8,523,-46.1
VERA CRUZ,Tauá,SERTAO CENTRAL E INHAMUNS,508.8,522.5,2.7
AEROPORTO(CRATEUS),Crateús,SERTAO CENTRAL E INHAMUNS,559.5,522.1,-6.7
OLIVEIRA,Tamboril,SERTAO CENTRAL E INHAMUNS,542.9,520,-4.2
DESEJO,Independência,SERTAO CENTRAL E INHAMUNS,640.6,519.2,-19
SALITRE,Salitre,SERTAO CENTRAL E INHAMUNS,509.4,519.2,1.9
SITIO TIMBAUBA MACORE,Russas,JAGUARIBANA,716.3,517.3,-27.8
FURNAS,Aracoiaba,MACICO DE BATURITE,978.7,516.6,-47.2
CAIOCA,Sobral,LITORAL NORTE,651.8,514.7,-21
CATUNDA,Catunda,SERTAO CENTRAL E INHAMUNS,682.7,514.5,-24.6
AMANAIARA,Reriutaba,IBIAPABA,778.2,514,-34
MOMBACA,Mombaça,SERTAO CENTRAL E INHAMUNS,766.1,512.6,-33.1
TABULEIRO DO NORTE,Tabuleiro do Norte,JAGUARIBANA,713.6,512.3,-28.2
EMA,Iracema,JAGUARIBANA,646.5,512,-20.8
MAURITI,Mauriti,CARIRI,755.7,511.2,-32.4
ARATAMA,Assaré,SERTAO CENTRAL E INHAMUNS,658.1,511,-22.4
BOQUEIRAO,Sobral,LITORAL NORTE,798.9,510.3,-36.1
NOVA RUSSAS,Nova Russas,IBIAPABA,779.7,508.9,-34.7
MARRUAS,Tauá,SERTAO CENTRAL E INHAMUNS,252.2,507.7,101.3
BOA VISTA,Várzea Alegre,CARIRI,713.7,507,-29
ICO,Icó,JAGUARIBANA,767.7,506.4,-34
NOVA FLORESTA,Jaguaribe,JAGUARIBANA,597.1,504.8,-15.5
JARDIM,Jardim,CARIRI,726.5,503,-30.8
JUREMA,General Sampaio,LITORAL DE PECEM,356,502.6,41.2
PALESTINA,Orós,JAGUARIBANA,707.9,501.1,-29.2
JATI,Jati,CARIRI,722.3,501,-30.6
PIRES FERREIRA,Pires Ferreira,IBIAPABA,814.6,500.1,-38.6
MONTE ALEGRE,Barro,CARIRI,782.3,499.6,-36.1
QUIXERE,Quixeré,JAGUARIBANA,671.5,497.8,-25.9
ACUDE TRAPIA,Pedra Branca,SERTAO CENTRAL E INHAMUNS,734.8,497.8,-32.3
BARRO,Barro,CARIRI,823.1,495.7,-39.8
SITIO FAVEIRA,São Benedito,IBIAPABA,675.3,494.6,-26.8
SANTA TEREZINHA,Crateús,SERTAO CENTRAL E INHAMUNS,446.8,494,10.6
MONTE SINAI,Independência,SERTAO CENTRAL E INHAMUNS,429.5,494,15
CEDRO,Cedro,CARIRI,920.6,493.2,-46.4
CARIUS,Cariús,CARIRI,805.4,492,-38.9
ARARENDA,Ararendá,IBIAPABA,637.5,491.2,-23
AMANIUTUBA,Lavras da Mangabeira,CARIRI,639.6,488.2,-23.7
SAO SEBASTIAO,Cariús,CARIRI,516.3,487,-5.7
AC. OROS,Orós,JAGUARIBANA,359.8,486.3,35.2
ACUDE SANTA MARIA,Ererê,JAGUARIBANA,0,486,0
ENGENHO VELHO,Barro,CARIRI,686.9,484.5,-29.5
VARZEA ALEGRE,Várzea Alegre,CARIRI,992.1,483.2,-51.3
NOVO ORIENTE,Novo Oriente,SERTAO CENTRAL E INHAMUNS,718.5,479.6,-33.3
POTENGI,Potengi,SERTAO CENTRAL E INHAMUNS,682.9,477,-30.2
COMUNIDADE GROSSAS,Pereiro,JAGUARIBANA,896.6,476.4,-46.9
MANGABEIRA,Lavras da Mangabeira,CARIRI,791.2,475.7,-39.9
CHORO,Choró,SERTAO CENTRAL E INHAMUNS,730.5,474.1,-35.1
IPAPORANGA,Ipaporanga,IBIAPABA,678.9,474,-30.2
FLORES,Ipu,IBIAPABA,690.5,473.9,-31.4
BOA VISTA,Mombaça,SERTAO CENTRAL E INHAMUNS,523.6,472.9,-9.7
IPAUMIRIM,Ipaumirim,CARIRI,908.4,472.7,-48
SITIO MALHADA,Limoeiro do Norte,JAGUARIBANA,751.3,471.3,-37.3
TAMBORIL,Tamboril,SERTAO CENTRAL E INHAMUNS,652.5,470.9,-27.8
AC. PEDRAS BRANCAS,Quixadá,SERTAO CENTRAL E INHAMUNS,274.5,468.6,70.7
COREAU,Coreaú,IBIAPABA,1053.3,468.5,-55.5
TANGENTE,Massapê,LITORAL NORTE,750.8,468.4,-37.6
PACUJA,Pacujá,IBIAPABA,974.8,466.6,-52.1
LIMA CAMPOS,Icó,JAGUARIBANA,182.5,463.6,154
CAPIM GROSSO,Russas,JAGUARIBANA,692.6,463.3,-33.1
RIACHO DO ALGODAO,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,461.6,0
JAGUARIBARA,Jaguaribara,JAGUARIBANA,723.8,461.3,-36.3
SITIO FORQUILHA - COGERH,Beberibe,LITORAL DE FORTALEZA,598.6,461.2,-23
INDEPENDENCIA,Independência,SERTAO CENTRAL E INHAMUNS,579.4,461.1,-20.4
MASSAPE,Massapê,LITORAL NORTE,949.7,460.2,-51.5
DEP. IRAPUAN PINHEIRO,Deputado Irapuan Pinheiro,SERTAO CENTRAL E INHAMUNS,790.5,460,-41.8
IBIAPABA,Crateús,SERTAO CENTRAL E INHAMUNS,639.9,459.5,-28.2
TRUSSU,Acopiara,SERTAO CENTRAL E INHAMUNS,686.1,459,-33.1
BAIXIO,Quiterianópolis,SERTAO CENTRAL E INHAMUNS,433.3,458,5.7
INHUPORANGA,Caridade,SERTAO CENTRAL E INHAMUNS,331.8,456.7,37.6
BETANIA,Hidrolândia,IBIAPABA,672,455,-32.3
BASTIOES,Iracema,JAGUARIBANA,1025.6,455,-55.6
VILA SANTO ANTONIO,Crateús,SERTAO CENTRAL E INHAMUNS,582.8,455,-21.9
QUIXADA,Quixadá,SERTAO CENTRAL E INHAMUNS,706.4,454.9,-35.6
BOA AGUA,Morada Nova,JAGUARIBANA,754.8,448.2,-40.6
TRAPIA,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,686.4,447.6,-34.8
SERRA DA GUIA,Boa Viagem,SERTAO CENTRAL E INHAMUNS,520.3,446,-14.3
VILA SOARES,Apuiarés,LITORAL DE PECEM,0,444.3,0
BOA VIAGEM,Boa Viagem,SERTAO CENTRAL E INHAMUNS,661.4,443,-33
FAZENDA NOVA,Aiuaba,SERTAO CENTRAL E INHAMUNS,488.2,441.1,-9.7
AC. ARARAS,Varjota,IBIAPABA,376.2,439.5,16.8
RIACHO VERDE,Várzea Alegre,CARIRI,856.2,439,-48.7
AC. FORQUILHA,Forquilha,IBIAPABA,362.1,436.8,20.6
PEIXE GORDO,Icapuí,JAGUARIBANA,717.4,435.6,-39.3
CAMPOS SALES,Campos Sales,SERTAO CENTRAL E INHAMUNS,567.9,433.6,-23.7
ARUARU,Morada Nova,JAGUARIBANA,521.8,433,-17
BIXOPA,Limoeiro do Norte,JAGUARIBANA,621.9,428.6,-31.1
PATRIARCA,Sobral,LITORAL NORTE,681.9,428.3,-37.2
AURORA,Aurora,CARIRI,933.2,427,-54.2
SANTA CRUZ,Amontada,LITORAL NORTE,0,426.1,0
CENTRO DE TREINAMENTO,Sobral,LITORAL NORTE,844.4,424.6,-49.7
ESPERANCA,Canindé,SERTAO CENTRAL E INHAMUNS,628.8,424,-32.6
CEDRO,Aiuaba,SERTAO CENTRAL E INHAMUNS,435.8,422.2,-3.1
QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,706.2,421.7,-40.3
PATOS,Sobral,LITORAL NORTE,0,421,0
BOM NOME,Aiuaba,SERTAO CENTRAL E INHAMUNS,546.5,420.4,-23.1
CUNCAS,Barro,CARIRI,439.4,418.9,-4.7
SERROTE BRANCO,Jaguaretama,JAGUARIBANA,678.5,417.4,-38.5
ENCANTADO,Quixeramobim,SERTAO CENTRAL E INHAMUNS,564.6,416.6,-26.2
FORQUILHA,Forquilha,IBIAPABA,725.6,416.4,-42.6
ARROJADO,Lavras da Mangabeira,CARIRI,336.5,416,23.6
GUASSUSSE,Orós,JAGUARIBANA,0,416,0
PIQUET CARNEIRO,Piquet Carneiro,SERTAO CENTRAL E INHAMUNS,730.9,415,-43.2
AIUABA,Aiuaba,SERTAO CENTRAL E INHAMUNS,572.7,412.8,-27.9
CATARINA,Catarina,SERTAO CENTRAL E INHAMUNS,689.4,412,-40.2
JANDRANGOEIRA,Independência,SERTAO CENTRAL E INHAMUNS,340.6,409,20.1
TARRAFAS,Tarrafas,SERTAO CENTRAL E INHAMUNS,673.1,408.5,-39.3
RADAR QUIXERAMOBIM,Quixeramobim,SERTAO CENTRAL E INHAMUNS,0,406.2,0
MONSENHOR TABOSA,Monsenhor Tabosa,SERTAO CENTRAL E INHAMUNS,669.6,405.4,-39.5
FAZENDA GRACINHA,Crateús,SERTAO CENTRAL E INHAMUNS,540.4,405,-25.1
JAGUARUANA,Jaguaruana,JAGUARIBANA,703.2,403.7,-42.6
IBICUITINGA,Ibicuitinga,JAGUARIBANA,705.7,402.9,-42.9
SUCESSO,Tamboril,SERTAO CENTRAL E INHAMUNS,631.1,402,-36.3
SAO JOSE DO FAMA,Iracema,JAGUARIBANA,647.7,401,-38.1
EMATUBA,Independência,SERTAO CENTRAL E INHAMUNS,475.2,400,-15.8
AEROPORTO(IGUATU),Iguatu,SERTAO CENTRAL E INHAMUNS,260.4,399.2,53.3
ESTACAO ECOLOGICA,Aiuaba,SERTAO CENTRAL E INHAMUNS,481.8,398.1,-17.4
CANAFISTULA,Iracema,JAGUARIBANA,0,397.8,0
PARAMBU,Parambu,SERTAO CENTRAL E INHAMUNS,722.3,396.4,-45.1
VILA ANTONICO,Quixelô,SERTAO CENTRAL E INHAMUNS,767.4,394.6,-48.6
FAZENDA MALAQUIAS,Tejuçuoca,LITORAL DE PECEM,517.6,393,-24.1
BONFIM,Sobral,LITORAL NORTE,697.2,392,-43.8
ALGODOES,Quiterianópolis,SERTAO CENTRAL E INHAMUNS,410.9,389,-5.3
AC. VARZEA DO BOI,Tauá,SERTAO CENTRAL E INHAMUNS,361.7,388.2,7.3
FAZ.REALEZA,Independência,SERTAO CENTRAL E INHAMUNS,0,385,0
LACERDA,Quixeramobim,SERTAO CENTRAL E INHAMUNS,522.6,385,-26.3
MATA FRESCA,Aracati,JAGUARIBANA,579.8,384.6,-33.7
BANABUIU,Banabuiú,JAGUARIBANA,673.8,382.8,-43.2
ARACATIACU,Sobral,LITORAL NORTE,487.1,381,-21.8
TEJUCUOCA,Tejuçuoca,LITORAL DE PECEM,587.3,380.8,-35.2
ANGICO,Cariús,CARIRI,767.3,379.4,-50.6
LISIEUX,Santa Quitéria,SERTAO CENTRAL E INHAMUNS,0,379.1,0
AC. FAVELAS,Tauá,SERTAO CENTRAL E INHAMUNS,292.3,378,29.3
PENAFORTE,Penaforte,CARIRI,579,376,-35.1
SITIO ITAPORANGA,Saboeiro,SERTAO CENTRAL E INHAMUNS,0,376,0
IFCE QUIXADA,Quixadá,SERTAO CENTRAL E INHAMUNS,0,373.9,0
